Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2016,1,Melbourne (CBD),0,122,0,0,137,0,0,0,0,77,0,0,0,3,0,0,0,14,0,0,791
2016,2,Melbourne (CBD),0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
2016,4,Melbourne (CBD),0,0,0,39,0,0,0,0,0,205,0,0,0,16,0,0,0,46,226,0,558
2016,5,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,15
2016,6,Melbourne (CBD),0,40,0,341,0,0,0,0,0,302,0,0,0,0,0,0,0,48,30,0,"1,045"
2016,11,Melbourne (CBD),152,68,0,0,107,0,0,0,32,90,64,0,0,56,0,0,0,0,0,0,718
2016,12,Melbourne (CBD),102,"1,289",0,55,"1,492",0,137,0,304,189,73,0,0,23,0,0,0,15,0,0,"4,608"
2016,13,Melbourne (CBD),0,191,98,0,562,0,42,606,298,41,0,0,0,20,0,0,0,34,32,0,"2,000"
2016,14,Melbourne (CBD),155,157,0,0,539,73,517,0,100,384,79,29,0,177,0,51,0,79,0,27,"2,426"
2016,15,Melbourne (CBD),60,131,0,154,219,0,485,0,71,766,41,65,47,188,0,0,0,411,0,23,"2,679"
2016,16,Melbourne (CBD),0,0,0,158,360,0,228,0,74,144,49,0,0,20,0,16,0,68,0,0,"1,238"
2016,17,Melbourne (CBD),0,51,0,0,451,0,79,0,653,510,0,0,0,3,0,76,0,35,0,0,"2,205"
2016,18,Melbourne (CBD),98,12,0,0,"2,021",0,0,0,771,226,0,0,0,20,0,248,0,0,0,0,"4,572"
2016,21,Melbourne (CBD),0,0,0,0,266,0,0,0,0,26,0,0,0,215,"1,265",0,0,0,0,0,"2,057"
2016,22,Melbourne (CBD),0,436,0,108,"2,471",122,0,70,380,331,0,0,0,95,224,41,0,40,93,0,"4,623"
2016,23,Melbourne (CBD),0,252,0,24,"1,001",0,48,0,98,85,37,234,0,81,0,61,0,28,0,0,"2,078"
2016,24,Melbourne (CBD),0,310,40,0,"2,123",77,69,0,"2,139",270,160,"1,255",23,87,0,351,0,150,50,0,"7,732"
2016,25,Melbourne (CBD),32,366,0,0,787,0,408,0,147,264,136,0,40,281,0,118,0,421,0,143,"3,991"
2016,26,Melbourne (CBD),0,0,0,0,"2,246",0,0,0,"1,048",218,59,0,0,30,0,0,0,138,0,0,"4,587"
2016,27,Melbourne (CBD),0,64,0,0,"2,103",66,0,0,"2,285",290,62,0,0,100,0,0,0,214,0,0,"5,891"
2016,28,Melbourne (CBD),0,194,0,0,586,79,0,0,853,287,129,0,0,66,390,243,0,113,0,0,"5,733"
2016,568,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,31,Melbourne (CBD),0,0,0,0,240,0,136,0,208,169,163,0,0,64,0,0,0,48,0,0,"1,381"
2016,32,Melbourne (CBD),0,455,81,0,"2,563",0,30,284,"2,623",154,128,34,12,147,383,180,0,20,258,0,"7,424"
2016,33,Melbourne (CBD),26,484,21,0,962,39,357,0,462,251,88,0,0,220,0,24,0,52,27,0,"3,050"
2016,34,Melbourne (CBD),0,710,25,0,"1,598",0,60,58,"2,995",162,78,18,29,325,0,146,0,175,38,25,"6,514"
2016,35,Melbourne (CBD),0,78,0,21,161,0,150,0,50,256,436,0,192,168,0,6,0,727,0,73,"2,513"
2016,36,Melbourne (CBD),121,43,0,0,302,0,0,0,"1,059",183,29,0,3,206,0,0,0,83,0,0,"2,168"
2016,37,Melbourne (CBD),88,92,0,0,779,0,0,0,"1,418",81,28,0,80,41,"1,566",204,0,60,0,0,"6,008"
2016,38,Melbourne (CBD),0,57,0,0,649,6,113,53,470,323,388,33,126,145,53,27,0,46,49,0,"2,680"
2016,41,Melbourne (CBD),0,24,0,0,354,0,0,0,0,87,85,0,0,80,0,0,0,0,0,0,"1,864"
2016,42,Melbourne (CBD),0,111,15,0,"1,568",0,329,511,896,163,75,261,129,133,571,150,0,19,0,38,"5,007"
2016,43,Melbourne (CBD),0,380,0,0,"2,532",50,590,0,686,132,0,124,38,146,0,0,0,52,107,0,"5,578"
2016,44,Melbourne (CBD),0,189,0,0,828,0,54,803,"1,324",191,57,0,16,135,416,38,0,160,0,25,"4,289"
2016,45,Melbourne (CBD),0,0,0,0,54,0,73,0,41,202,0,0,27,71,0,0,0,"1,198",0,0,"1,830"
2016,46,Melbourne (CBD),0,43,0,7,183,0,0,0,0,394,167,54,0,126,"1,097",0,0,219,0,0,"2,666"
2016,47,Melbourne (CBD),45,0,0,0,0,0,0,0,27,276,24,0,0,322,"3,745",0,0,84,0,0,"7,191"
2016,48,Melbourne (CBD),0,22,0,29,376,0,0,0,50,347,87,0,26,117,0,19,0,66,0,0,"1,489"
2016,51,Melbourne (CBD),0,0,0,13,539,0,164,0,0,153,0,0,0,72,0,24,0,16,0,0,"2,317"
2016,52,Melbourne (CBD),0,113,0,0,"4,980",0,0,0,"2,364",217,9,317,0,80,216,228,0,35,0,0,"8,741"
2016,53,Melbourne (CBD),104,56,0,0,"1,045",41,60,0,"3,877",246,53,27,11,217,35,46,0,12,19,0,"5,864"
2016,54,Melbourne (CBD),0,131,0,20,633,0,90,0,161,326,84,0,17,218,0,48,0,220,0,17,"1,987"
