Sale_Year,Type,Median_Price,Transaction_Count
2000,House/Townhouse,"$275,000.00",649
2000,Residential Apartment,"$302,500.00","3,660"
2001,House/Townhouse,"$320,000.00",779
2001,Residential Apartment,"$330,545.00","5,789"
2002,House/Townhouse,"$381,500.00",650
2002,Residential Apartment,"$369,500.00","4,888"
2003,House/Townhouse,"$385,000.00",630
2003,Residential Apartment,"$310,000.00","4,092"
2004,House/Townhouse,"$395,000.00",572
2004,Residential Apartment,"$336,000.00","2,617"
2005,House/Townhouse,"$450,000.00",600
2005,Residential Apartment,"$335,000.00","2,860"
2006,House/Townhouse,"$490,500.00",600
2006,Residential Apartment,"$370,000.00","3,437"
2007,House/Townhouse,"$615,000.00",778
2007,Residential Apartment,"$400,000.00","5,399"
2008,House/Townhouse,"$543,500.00",599
2008,Residential Apartment,"$422,000.00","4,860"
2009,House/Townhouse,"$585,796.50",661
2009,Residential Apartment,"$450,000.00","5,381"
2010,House/Townhouse,"$740,000.00",670
2010,Residential Apartment,"$508,000.00","8,186"
2011,House/Townhouse,"$710,000.00",531
2011,Residential Apartment,"$510,000.00","6,267"
2012,House/Townhouse,"$675,000.00",531
2012,Residential Apartment,"$493,960.00","5,740"
2013,House/Townhouse,"$737,750.00",592
2013,Residential Apartment,"$520,000.00","7,611"
2014,House/Townhouse,"$800,000.00",577
2014,Residential Apartment,"$525,000.00","7,359"
2015,House/Townhouse,"$890,000.00",537
2015,Residential Apartment,"$510,000.00","4,248"
2016,House/Townhouse,"$950,000.00",454
2016,Residential Apartment,"$508,000.00","3,333"
